,name,categories,lat,lng,id,Stadtbezirk,Stadtteil
166,Parfümerie Liebe,Cosmetics Shop,52.37301887497129,9.737881383009345,4c92273951d9b1f75f5f8646,Mitte,Calenberger Neustadt
167,Zara,Clothing Store,52.37306311191952,9.736913114775664,4bbf0fe0f353d13aebf97d10,Mitte,Calenberger Neustadt
168,Havana Club,Nightclub,52.374839397160265,9.731799960136414,4bf73c635efe2d7fdcbb6834,Mitte,Calenberger Neustadt
169,Café Kränzchen,Café,52.37332887064093,9.73324079534274,4cc0348c1c6c6dcb9995735e,Mitte,Calenberger Neustadt
170,SFU - Sachen Für Unterwegs,Sporting Goods Shop,52.373828254300875,9.734764986670747,4da6b42d4b22cb9c5c136cff,Mitte,Calenberger Neustadt
171,6 Sinne,Cocktail Bar,52.37460179183236,9.735374644094362,50c1dbebe4b0abeb9e93e986,Mitte,Calenberger Neustadt
172,Efendi Bey,Pastry Shop,52.375404,9.730962,4efc8f9477c822653f7ac57c,Mitte,Calenberger Neustadt
173,Apple Hannover,Electronics Store,52.3750567,9.7396059,532d8e6a498ecc032301b64a,Mitte,Calenberger Neustadt
174,Balzac Coffee,Coffee Shop,52.371111910090676,9.736538102498189,4b73ed04f964a5205cc02de3,Mitte,Calenberger Neustadt
175,Weinbar gegenüber,Wine Bar,52.369984767958876,9.737782429561772,4b48f341f964a520fd5e26e3,Mitte,Calenberger Neustadt
176,Bavarium,Bavarian Restaurant,52.37204906030355,9.739653468132017,4b77f44df964a52007b02ee3,Mitte,Calenberger Neustadt
177,Parga,Greek Restaurant,52.36621168785832,9.714433948640856,4ba12637f964a520859c37e3,Mitte,Calenberger Neustadt
178,Buchhandlung Decius,Bookstore,52.37114,9.736962,4c5675f92308be9afb03576c,Mitte,Calenberger Neustadt
179,Bistro bei Jacqueline,Café,52.37181702505902,9.712327654233814,4d1878e7cc216ea8454176d3,Mitte,Calenberger Neustadt
180,Schöne Aussichten 360grad,Beach Bar,52.37071359985194,9.737623022185025,4bbc71bc3de8c9b6b8ee9aad,Mitte,Calenberger Neustadt
181,Kumkapi,Seafood Restaurant,52.376092412148786,9.735264846987395,4d9e1ead7958f04d3ee625fa,Mitte,Calenberger Neustadt
182,Waffel Dream,Dessert Shop,52.37651292515361,9.72863688461075,57863cf6498e431760831254,Mitte,Calenberger Neustadt
183,Aegidienkirche,Historic Site,52.36941104375509,9.739288556954778,4bf83989d4cdb71301ba84fe,Mitte,Calenberger Neustadt
184,Seven Sundays,Breakfast Spot,52.371194,9.738992,5b361f10b6eedb00390763d4,Mitte,Calenberger Neustadt
185,Duke Burger,Burger Joint,52.371255,9.712646,5884e34838730349af2d4a4b,Mitte,Calenberger Neustadt
186,Pommesglück,Friterie,52.37505195570465,9.739167470860943,50f803ace4b09b9b5e78504e,Mitte,Calenberger Neustadt
187,Balzac Coffee,Coffee Shop,52.373724,9.735367,4fba1a9de4b078220a9dc32a,Mitte,Calenberger Neustadt
188,Vapiano,Italian Restaurant,52.374390847286016,9.73512974694793,505ea7ee7ab4aa8c17b024b0,Mitte,Calenberger Neustadt
189,idee. Creativmarkt,Arts & Crafts Store,52.374414185029714,9.734860162090495,4e86e2b15c5c567d6c15af1f,Mitte,Calenberger Neustadt
190,Jim Block,Burger Joint,52.37385284920403,9.739565136457601,4e492451b61c03d0cd2e853a,Mitte,Calenberger Neustadt
191,Mio Mio,Italian Restaurant,52.36531648494948,9.718644421644074,4c03c6ea3f03b71383065241,Mitte,Calenberger Neustadt
192,denn's Biomarkt,Organic Grocery,52.3700416296668,9.73769543172707,4bb7093246d4a593270dc7c0,Mitte,Calenberger Neustadt
193,Centrum,Bar,52.367140705504845,9.714365384692623,4b86caedf964a520bc9d31e3,Mitte,Calenberger Neustadt
194,Mövenpick Café Kröpcke,Swiss Restaurant,52.374324431928635,9.738754127894047,4bd2acfb77b29c74ee3c8f82,Mitte,Calenberger Neustadt
195,200 Ponies,Nightclub,52.377292946461516,9.732992725088023,4da10b86540ea1cd86b85fde,Mitte,Calenberger Neustadt
196,Kurt16,Restaurant,52.37700652873893,9.735821241891404,5007ae1d011c79529978025e,Mitte,Calenberger Neustadt
197,COS,Clothing Store,52.37386638563965,9.738400959428647,54048a59498e46786b50457e,Mitte,Calenberger Neustadt
198,dm-drogerie markt,Drugstore,52.373351,9.7368631,4e3efdbc814ddc29c427bf85,Mitte,Calenberger Neustadt
199,Görtz,Shoe Store,52.3738229,9.7368782,4caedf31db32f04defc0b24d,Mitte,Calenberger Neustadt
200,Erlebnis-Zoo Hannover,Zoo,52.381441182309416,9.770686626434326,4b64386df964a520c6a42ae3,Mitte,Zoo
201,Sambesi Expedition,Theme Park Ride / Attraction,52.38084686559283,9.768827855587006,4caf2c5f1463a1438b3e92a9,Mitte,Zoo
202,Eilenriede,Forest,52.38622162083426,9.764184951782227,4b7654d9f964a52088482ee3,Mitte,Zoo
203,Yukon Bay,Zoo Exhibit,52.37952558737207,9.77278411388397,4c025486f56c2d7f0f421b66,Mitte,Zoo
204,Dschungelpalast,Zoo Exhibit,52.380612738629274,9.773481488227844,4c44698bf799e21ec2beada2,Mitte,Zoo
205,Bistro Stromboli,Italian Restaurant,52.377947504051356,9.76088416911938,4c039ab1f423a5939b6cd016,Mitte,Zoo
206,Joggingpfad Eilenriede,Track,52.38692063473127,9.775171279907225,4f6f5d14e4b0a235d8671b94,Mitte,Zoo
207,zurück zum glück,Café,52.377119868390885,9.754948733199203,4b83fcb7f964a520ce1931e3,Mitte,Zoo
208,Waldcafé Milchhäuschen,Café,52.38266188235419,9.760468872538219,4c5d5c682815c9280a83b467,Mitte,Zoo
209,Stadtpark,Park,52.3740665046037,9.771480560302734,4dc53a1152b1e8f9f7cdb4ce,Mitte,Zoo
210,Kuppelsaal,Concert Hall,52.37588461556317,9.76928544774579,4beaead36295c9b6b3078708,Mitte,Zoo
211,Hindenburg Klassik,Italian Restaurant,52.374888151548674,9.763188942717633,4bd8575c0b779c7447df06a0,Mitte,Zoo
212,Bäcker Göing,Bakery,52.37640565303788,9.756473511487755,526ce2c311d2c0a1abad22cd,Mitte,Zoo
213,Sonnenspielplatz,Playground,52.380950012042945,9.757672548294067,4c80f444d92ea093a5fe3b72,Mitte,Zoo
214,Luigi Amarone,Ice Cream Shop,52.37981853144867,9.772812115988927,5024ecb1e4b0817fcf685065,Mitte,Zoo
215,Waldsonne,Snack Place,52.38084975617289,9.757985253204803,517123dfe4b0b0c4faf69785,Mitte,Zoo
216,EDEKA Wucherpfennig,Supermarket,52.38143317,9.75396139,4b487bb8f964a520054e26e3,Mitte,Zoo
217,Deins,Restaurant,52.375143330944915,9.770732906344737,5253ec3b11d280c5cfe5fe60,Mitte,Zoo
218,EDEKA Frischemarkt Kasper,Supermarket,52.37552852489626,9.760383210169232,4bd5aa6a4e32d13a5f2fc180,Mitte,Zoo
219,Erdmännchen,Zoo Exhibit,52.380702,9.768612,56ea92ef498ea46dad1be8d2,Mitte,Zoo
